id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
01-Sep-2021_EXS47S,departure,13.833333333333334,04,04,01,2976.902050090518,696.3452239502815,0,2830.5556440484934,91.9089601694,1014.0460966443912,1870.946993276727,23R/05L,1,0,9,7,0,0,0,7,0,0,0
01-Aug-2021_RYR553,departure,9.966666666666667,05,06,01,1685.0341363677355,336.68256731045005,0,1460.7572842838688,83.0918278028,793.0457372249411,808.8965713399944,23R/05L,1,0,4,1,0,0,0,2,1,0,0
02-Aug-2021_RYR553,departure,14.8,05,06,02,2187.916330537146,381.6802825227835,0,2027.1474836812408,88.9090138822,1314.2736708799266,784.7336457750198,23R/05L,1,0,4,2,1,0,0,1,2,0,0
03-Aug-2021_RYR553,departure,10.633333333333333,05,06,03,1958.1968021193652,372.13493913585154,0,1748.887065417704,83.0918278028,974.8760264943767,900.2289478221885,23R/05L,1,0,5,1,0,0,0,1,3,0,0
04-Aug-2021_RYR553,departure,8.1,06,06,04,1324.6344711686825,534.6166240132011,0,1062.391793649275,88.9090138822,0,1235.7254572864824,23R/05L,1,0,4,0,0,0,0,0,3,0,0
05-Aug-2021_RYR553,departure,8.116666666666667,05,06,05,1685.0341363677355,336.68256731045005,0,1460.7572842838688,83.0918278028,793.0457372249411,808.8965713399944,23R/05L,1,0,3,1,0,0,0,1,1,0,0
06-Aug-2021_RYR553,departure,8.066666666666666,06,06,06,1119.0622353979077,871.198116900996,0,721.1908265678506,71.1519727783,0,1047.9102626196077,23R/05L,1,0,3,1,0,0,0,1,0,0,0
07-Aug-2021_RYR553,departure,11.533333333333333,06,06,07,1895.526690787818,529.3430037244736,0,1695.4444074353046,88.9090138822,746.9421803053973,1059.6754966002209,23R/05L,1,0,7,2,2,0,0,2,2,0,0
08-Aug-2021_RYR553,departure,9.283333333333333,06,06,08,963.7171947124077,525.5741746099957,0,721.1908265678506,71.1519727783,0,892.5652219341077,23R/05L,1,0,3,0,1,0,0,0,2,0,0
09-Aug-2021_RYR553,departure,10.483333333333333,06,06,09,2020.7583575141653,372.693491328054,0,1802.8559328269039,91.6845157884,974.8760264943767,954.1978152313886,23R/05L,1,0,7,1,3,0,0,1,2,0,0
10-Aug-2021_RYR553,departure,10.283333333333333,05,06,10,2020.7583575141653,372.693491328054,0,1802.8559328269039,91.6845157884,974.8760264943767,954.1978152313886,23R/05L,1,0,3,2,1,0,0,1,1,0,0
