d,taxi_time,gate_block_hour,runway_hour,rwy_day,distance,angle,shortest_path,distance_gate,distance_long,distance_else,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
1,13.13333333,4,4,3,1442.551613,348.7693107,1248.425249,82.95309436,746.9421803,612.6563384,1,0,9,5,1,0,0,5,3,0,0
1,13.23333333,8,8,29,3273.463726,661.6886429,2663.934337,127.7352259,1014.046097,2131.682403,1,0,8,2,2,0,0,4,2,0,0
1,19.23333333,5,5,1,3705.687959,626.6409831,3579.949973,71.3005402,2047.602118,1586.785301,1,0,4,3,0,0,0,2,0,0,0
1,8.733333333,14,15,8,1171.211956,318.2502442,960.1329414,71.85325888,709.7835036,389.5751937,1,0,4,0,2,0,0,2,2,0,0
0,7.016666667,12,12,17,2552.720048,556.1750546,2247.831553,113.648321,0.0,2439.071727,1,0,6,0,0,1,1,0,0,1,2
0,5.516666667,14,14,9,1734.306869,365.7477933,1555.145121,113.4852949,0.0,1620.821574,-1,0,6,0,0,2,0,0,0,3,1
0,3.15,10,10,4,1411.357488,460.1378079,1160.279082,83.43222771,0.0,1327.92526,1,0,7,0,0,2,0,0,0,2,4
0,3.65,16,16,8,1549.271485,475.5539967,1125.688571,91.73508562,0.0,1457.536399,1,0,2,0,0,1,0,0,0,1,1
0,10.73333333,11,11,25,3109.871029,589.0481477,2802.086444,110.7123898,1600.840395,1398.318244,1,0,9,0,0,1,0,0,0,2,3
0,3.583333333,9,9,9,1456.788906,538.454721,1216.384399,104.57135,0.0,1352.217556,1,0,3,0,0,0,0,0,0,0,3
1,13.08333333,14,14,11,2503.33141,640.5173117,1916.627528,104.57135,974.8760265,1423.884033,1,0,6,3,0,0,0,4,1,0,0
0,3.5,20,20,20,1571.002193,318.9161399,1122.635649,82.95309436,886.4465448,601.6025541,1,0,3,0,0,0,1,0,0,0,3
1,15.51666667,4,4,4,3412.933917,658.0928412,3217.250243,68.04266946,2008.432048,1336.459199,1,0,14,6,0,0,0,6,2,0,0
1,9.166666667,13,14,13,1171.211956,318.2502442,960.1329414,71.85325888,709.7835036,389.5751937,1,0,8,2,0,0,0,3,3,0,0
0,6.516666667,10,10,9,2903.237251,595.2223937,2527.220061,67.03856228,1019.76446,1816.434229,1,0,3,0,0,0,1,0,0,1,2
0,4.266666667,7,7,23,659.2258038,309.3654189,418.5776383,84.74577311,0.0,574.4800307,1,0,7,0,0,1,1,0,0,3,4
0,7.65,22,22,6,2621.752042,626.7402015,2373.385221,68.04266946,1019.76446,1533.944913,1,0,1,0,0,0,2,0,0,0,1
0,6.816666667,14,13,22,2726.886882,586.8953094,2350.049589,67.85866643,1019.76446,1639.263756,1,0,7,0,0,2,2,0,0,3,3
0,6.966666667,23,23,23,2638.164618,610.7538944,2364.974267,112.8402872,1404.752039,1120.572291,1,0,3,0,0,1,1,0,0,1,0
0,4.383333333,23,23,15,1601.964485,319.0567784,1180.493567,84.74577311,886.4465448,630.7721673,1,0,0,0,0,0,0,0,0,0,0
1,16.15,4,4,17,3174.527756,587.8658984,2871.391347,106.064214,1561.356284,1507.107259,1,0,11,7,0,0,0,6,1,0,0
0,6.983333333,19,19,17,2203.377434,657.0036888,1786.8569,107.5419067,0.0,2095.835527,1,0,4,0,0,1,0,0,0,1,1
1,8.983333333,8,8,21,1593.71673,361.0561121,1404.845637,64.61245246,891.6137929,637.4904851,1,0,5,0,0,0,0,0,1,0,0
0,2.633333333,8,8,1,973.4951835,318.1942646,707.7424409,83.0918278,0.0,890.4033557,1,0,2,0,0,0,1,0,0,1,1
1,12.26666667,8,9,19,1704.999094,706.3607846,1354.24344,71.15197278,746.9421803,886.9049414,1,0,4,1,1,0,0,2,1,0,0
0,6.883333333,23,23,27,2239.511665,721.0764061,2009.421846,91.90896017,608.7054609,1538.897244,1,0,2,0,0,0,0,0,0,0,2
0,7.416666667,22,22,12,2473.065036,592.0837372,2229.384863,106.4239204,796.0465784,1570.594537,1,0,4,0,0,0,1,0,0,0,2
0,8.866666667,9,9,18,3114.589008,559.6835281,2675.15285,110.7123898,796.0465784,2207.830039,1,0,7,0,0,1,1,0,0,2,3
0,6.733333333,8,8,22,2091.565872,701.9795345,1798.609439,101.0491881,0.0,1990.516684,1,0,4,0,0,0,0,0,0,2,2
0,7.566666667,22,22,9,2518.264678,590.465889,2311.803869,69.20455542,1070.438453,1378.62167,1,0,1,0,0,0,0,0,0,0,0
