type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,shortest path,distance_gate,distance_long,distance_else,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
0,7.116666666666666,23,23,31,1209.1207989652494,369.1638420997987,1029.6221924779495,83.4322277087,0.0,1125.6885712565495,-1,0,1,0,0,0,0,0,0,0,0
0,3.7,22,22,4,1839.191193045811,425.8347732054294,1424.0029245730616,88.9090138822,0.0,1750.2821791636109,1,0,2,0,0,0,0,0,0,0,2
0,2.5166666666666666,23,23,5,773.2893515576409,192.87293481264223,435.6924923494884,83.0918278028,0.0,690.1975237548409,-1,0,0,0,0,0,0,0,0,0,0
0,5.25,23,23,6,1958.7386727247815,530.8087855867852,1440.4923650311791,109.502424066,0.0,1849.2362486587815,1,0,3,0,0,0,0,0,0,1,1
0,3.25,23,23,7,1516.676330847005,420.2504188558632,1093.8755505365496,83.4322277087,0.0,1433.244103138305,1,0,4,0,0,0,0,0,0,1,2
0,3.0166666666666666,23,23,9,876.8442717524944,383.68996643214393,613.5344407471493,90.959777885,0.0,785.8844938674944,-1,0,0,0,0,0,0,0,0,0,0
0,3.7666666666666666,23,23,10,1562.107749330905,498.5673319398467,1149.9808674801495,104.571349969,0.0,1457.536399361905,1,0,1,0,0,0,0,0,0,0,0
0,3.7666666666666666,23,23,11,1493.115598206705,418.0196757156232,1036.2092724184497,91.6845157884,0.0,1401.431082418305,1,0,0,0,0,0,0,0,0,0,0
0,3.8833333333333337,23,23,14,1569.5051602107098,409.8254495716167,1155.2163342079543,106.733294121,0.0,1462.77186608971,1,0,1,0,0,0,0,0,0,0,1
0,3.183333333333333,23,23,17,818.8496033233494,335.01278403919434,600.1020962700723,101.049188081,0.0,717.8004152423493,-1,0,3,0,0,0,0,0,0,0,0
0,4.866666666666666,22,22,23,1675.9233300526332,472.3523604633423,1432.4322730624256,106.733294121,608.7054608738868,960.4845750577464,1,0,2,0,0,0,1,0,0,0,2
0,3.6333333333333337,22,22,25,1524.9040269407826,441.84567476783826,1283.574914102575,104.571349969,608.7054608738868,811.6272160978958,1,0,0,0,0,0,0,0,0,0,0
0,3.0166666666666666,22,22,28,1372.8877646938051,418.7819959631034,982.2404050092496,83.0918278028,0.0,1289.795936891005,1,0,2,0,0,0,1,0,0,0,2
0,3.95,22,22,30,1479.4839414188182,363.528760615718,1227.469597158975,83.4322277087,608.7054608738868,787.3462528362315,1,0,2,0,0,0,0,0,0,0,0
0,1.0,23,23,31,172.91152654680002,91.57030692039912,0.0,83.4322277087,0.0,89.47929883810002,-1,0,0,0,0,0,0,0,0,0,0
0,3.9166666666666665,4,4,1,177.9172241106,180.5710521739955,42.9871493236,134.93007478700002,0.0,42.987149323599965,-1,0,8,0,0,1,0,0,0,4,1
1,4.966666666666667,6,6,18,157.21185984529998,93.65901925756786,45.3388234295,68.8858870922,0.0,88.32597275309999,-1,0,6,1,0,0,0,2,3,0,0
1,6.1,6,6,22,375.1847628195,191.6333387104268,259.0201765867,68.0426694591,0.0,307.1420933604,-1,0,6,0,1,0,0,1,2,0,0
0,1.7833333333333334,14,14,29,467.7635340614722,203.5371687518437,219.79189777052227,111.624949329,0.0,356.1385847324722,-1,0,9,0,0,1,0,0,0,4,3
0,8.583333333333334,22,22,21,2548.78392232123,591.7863973091723,2246.3512035080134,110.712389807,796.0465784219341,1642.024954092296,1,0,5,0,0,1,1,0,0,1,2
0,8.35,13,12,3,2810.39484386983,627.6128023705755,2548.003767500846,71.3005402027,1070.438452629734,1668.6558510373957,1,0,8,0,0,2,3,0,0,2,5
0,5.566666666666666,13,13,5,1986.914963162268,588.2779238082001,1819.029906175248,113.648321037,0.0,1873.266642125268,1,0,9,0,0,2,0,0,0,6,1
