PC1,PC2,taxi_time
-625.9123064,-613.1532014,10.9
-1005.926592,-321.2023035,10.01666667
2567.181681,-702.1547761,22.78333333
-1123.890483,-734.5121525,5.283333333
-519.8733204,-332.2390745,11.43333333
-984.6170773,515.2099683,9.75
2547.912574,-628.0958034,13.73333333
-1080.061593,467.6430724,3.666666667
-1022.87674,-384.9658237,3.366666667
-242.1372749,-11.97169491,4.95
-1702.878749,146.7837723,3.05
2344.636718,-728.1288014,18.78333333
2001.085121,630.640617,13.03333333
1069.349587,341.5049833,13.16666667
-447.5617271,-383.3305272,8.116666667
-1604.442357,203.6539169,2.3
-862.9271245,-533.3704194,3.183333333
1137.829663,-465.2869262,7.583333333
-511.3167422,-542.4591547,9.6
-182.9725818,896.5894812,5.466666667
633.0055407,-133.0697109,7.8
-1029.391797,546.9893019,3
-157.4925971,-457.9432523,12.55
210.5165919,1220.289679,5.033333333
-956.6017435,-498.5845864,7.716666667
-799.5573212,643.0839142,3.666666667
-358.9710611,-341.7819508,8.116666667
-390.8815679,778.3213941,8.866666667
-877.1976041,614.4619133,3.95
612.6810352,1230.219956,12.53333333
-629.8806746,711.9224884,5.15
1654.188649,284.233504,11.53333333
86.31860301,-385.664702,8.45
-759.5287567,-596.5625859,4.016666667
300.7900935,230.1154965,7.683333333
-560.6490697,-365.0725403,9.916666667
599.4093743,1324.494828,5.883333333
-803.9928474,-501.5496579,13.13333333
1787.059934,527.2497657,13.23333333
2838.455155,-569.3227301,19.23333333
-1234.626701,-650.2483362,8.733333333
796.1086902,1390.529913,7.016666667
-401.8664452,744.9027533,5.516666667
-927.8505844,535.1069593,3.15
-824.9829547,639.9902176,3.65
1762.317464,-422.5895479,10.73333333
-850.200687,563.7076768,3.583333333
617.3135842,12.51516764,13.08333333
-759.550037,-596.5455895,3.5
2344.637043,-728.1216781,15.51666667
-1234.619259,-650.2592129,9.166666667
1375.288536,267.9459259,6.516666667
-2093.222071,-53.61208366,4.266666667
1024.552431,54.70164523,7.65
1102.212074,132.9069048,6.816666667
1045.867247,-504.8540864,6.966666667
-695.4349826,-575.0608554,4.383333333
1863.415052,-315.3765432,16.15
198.3450684,1145.619262,6.983333333
-552.0892272,-575.3027019,8.983333333
-1623.782673,187.1533754,2.633333333
-463.7633461,-247.132358,12.26666667
421.6830938,334.843373,6.883333333
769.9192575,223.8035039,7.416666667
1630.750405,707.4531671,8.866666667
109.6729377,1067.790393,6.733333333
891.4042912,-100.8737854,7.566666667
-390.889512,778.3252857,8.716666667
751.4374637,-1012.161042,10.03333333
-956.5938924,-498.5908833,10.56666667
-1723.449377,134.4388321,2.516666667
-76.83157604,990.2292557,4.033333333
2517.779033,-627.6278796,14.85
-1144.34973,-605.4067186,8.85
558.4095436,-135.6662638,11.51666667
-984.5882451,515.1734759,8.8
-1323.963223,-466.8286509,4.35
-196.0088403,-1010.579735,10.9
1624.434941,-535.4883791,8.366666667
-519.834974,-332.2797886,14.53333333
1188.503087,120.8260314,11.86666667
-707.6019097,-439.0836587,13.53333333
2517.790517,-627.631424,14.06666667
-699.0668024,-649.2925615,8.966666667
666.9613439,1267.445413,8.466666667
-110.5319823,879.1593188,7
169.9427782,-342.6251566,14.61666667
13.72269146,962.6238923,5.566666667
86.32879411,-385.6819103,8.366666667
-1584.248357,186.5666262,3.566666667
592.9172303,-191.5565683,13.53333333
-699.0334313,-649.3238313,13.23333333
-2343.942448,-277.606093,17.58333333
-627.1737501,-328.1218596,8.183333333
-1623.788969,187.1464564,5.65
1734.431937,759.4344922,8.933333333
-1412.261965,284.0063642,3.366666667
-960.4729494,-653.5228849,4.166666667
53.78020941,1023.929128,6.35
-2215.980448,-169.1979582,9.966666667
-1675.85702,176.552581,9.083333333
444.2613323,-1166.408744,13.18333333
-2098.524265,-52.73289135,1.7
-182.9911861,896.6089839,4.45
-206.1428198,142.6445625,3.766666667
977.2175021,595.7893626,8.25
-204.8671498,-275.3841248,8.433333333
-17.2411641,985.6904011,4.4
1117.332023,86.0761304,16.81666667
-16.46367394,998.5544713,18.46666667
-641.6809182,820.5958762,4.733333333
-713.7774502,-457.6370933,11.16666667
-874.2685278,-260.8688451,2.916666667
-625.9284106,-613.1405789,13.83333333
-511.2998615,-542.4828652,8.583333333
-27.44106302,1049.431469,6.283333333
653.1726797,-168.5165143,12.36666667
653.1548481,-168.4901639,8.066666667
1299.845253,242.6331872,12.8
-766.042376,-500.9165598,4.5
-847.8103223,-342.8762955,3.166666667
2126.581401,-466.9842099,15.2
-797.8858811,-483.9241846,9.233333333
-860.3867087,-634.5287233,5.283333333
199.0855654,1231.78987,5.166666667
1417.846514,294.6906274,13.3
86.35232327,1034.391807,5.866666667
-110.5386215,879.177032,6.483333333
-943.7977636,-344.5790392,4.55
-796.7441027,-490.6095448,17.11666667
2633.510563,-669.394365,12.86666667
1051.585976,53.52235964,7.25
-791.5947358,-277.1163565,4.7
278.5211197,256.0596315,6.1
-1922.685813,50.09384842,9.95
-552.1079702,-575.2832861,12.78333333
184.9278896,207.5045322,5.45
-904.2273989,-345.1689595,4.066666667
1158.053946,1687.453493,12.4
1557.603028,286.5453392,14.15
848.1095836,550.3381949,8.233333333
-913.547048,-612.7638843,2.783333333
715.5866113,-1364.443611,10.73333333
2309.507621,648.8071647,13.78333333
648.7863507,-51.89475401,17.46666667
-2343.35851,-232.8380315,6.466666667
1604.572436,-600.7870965,7.3
-1883.42257,-788.4937522,2.25
300.7996976,230.0944796,6.35
-1814.745317,81.86471462,3.8
677.9642765,184.2228843,7.8
-927.8523005,535.1070019,3.716666667
-775.2021614,-616.9438081,10.46666667
381.6079948,273.5560935,6.433333333
1584.096331,-180.8003381,15.26666667
-258.9728914,63.5735112,4.883333333
1019.384189,96.27360561,12.78333333
792.5266448,-110.1463345,10.83333333
1051.55918,53.54429078,5.883333333
-612.4815559,852.6533995,4.466666667
1735.460754,328.8987406,13.63333333
-1108.47547,506.6097859,3.966666667
451.9192669,-278.1210732,11.81666667
39.57389312,988.4055929,7.1
-537.9569799,778.7781001,15.4
1582.225816,677.2416681,10.68333333
-937.4763539,591.4427716,3.316666667
923.2203942,-805.4407587,11.9
-909.8214872,-574.1587664,2.85
-851.8210908,-300.1947158,3.5
-81.11820764,-467.5127275,13.38333333
-2054.237954,-32.41504103,2.15
-794.4680441,-132.5309862,12.06666667
-136.7068005,-680.4930508,9.633333333
-862.9032643,-533.3962588,3.033333333
86.30271936,-385.6494155,10.38333333
-1680.595454,164.9352146,2.65
-625.9430585,-613.1214689,13.51666667
-506.2092243,-276.4224822,11.06666667
-307.285268,821.3898625,9.183333333
-81.11272643,-467.5304103,11.18333333
-960.4885215,-653.5157031,3.433333333
534.5476962,-1121.57641,15.31666667
-2818.275981,-448.9036219,10.3
-2306.803225,-179.3679856,2.1
2267.303112,702.2440608,14.6
-748.5598795,-109.006815,10.31666667
-992.8478569,-386.7132313,3.616666667
-2259.887618,-138.6000947,1.983333333
796.087496,1390.550258,8.1
2325.862706,-476.1457931,11.56666667
-873.7537986,-296.8670228,7.75
-320.6044279,-600.6515607,8.833333333
477.59062,378.7158417,6.633333333
-1078.454596,504.8696926,3.483333333
985.2314479,20.78717253,7
1375.158808,158.0908091,6.85
1432.249858,285.2573669,17.25
-2099.775873,-104.8107667,2.266666667
1375.2901,267.9387674,10.65
-944.6410819,506.935417,8.4
835.1098037,284.3566762,9.633333333
-1073.237617,-655.154121,3.45
1654.802188,311.2257456,17.35
1727.673008,318.1572207,14.7
-1243.166539,-440.053291,7.333333333
-1528.913188,250.5859738,7.2
-136.7302797,-680.4515846,8.983333333
1863.383885,-315.3396347,14.63333333
831.2166857,19.18676662,10.81666667
1970.888503,548.7311551,9
-625.9304751,-613.1395447,9.683333333
2107.004412,616.5024326,7.883333333
-143.5535619,969.0952044,6.75
-765.8754779,-556.7865633,11.3
-511.2929003,-542.48853,16
2556.308523,-491.3318054,12.28333333
64.35751689,1042.004828,6.583333333
-625.9135579,-613.15362,8.45
-967.6436826,-494.347729,7.766666667
-687.5998167,745.8949606,3.933333333
831.2061995,19.19985459,11.15
-877.1995975,614.4635857,3.733333333
-511.3252756,-542.4565365,10.66666667
765.1499761,1413.583443,6.25
-62.72811065,-627.1690361,8.116666667
328.9747838,1180.066958,10.28333333
-191.1663979,-1014.530404,10.48333333
-1112.083157,425.0983862,8.65
-699.0713679,-649.2823953,9.116666667
-984.5904502,515.1786891,8.716666667
-81.1299548,-467.5032547,9.683333333
373.0638189,-318.4021146,7.683333333
-1814.760073,81.91287888,3.683333333
-2450.569137,-254.355421,1.25
-797.904657,636.4589504,4.55
-793.0984123,-499.0108253,5.166666667
607.6902678,-1085.434611,17.51666667
-552.0996476,-575.2874153,11.11666667
1375.292539,267.9443531,8.783333333
1630.746479,707.4646303,12.65
451.9077446,-278.0945814,10.01666667
320.7290606,278.1601297,5.85
444.2699046,-1166.419828,16.68333333
2038.878284,581.5251797,10.06666667
653.2141528,47.00493051,10.15
-695.4110408,-575.0840116,3.866666667
1276.835467,170.6108154,15.88333333
198.3608108,1145.610519,5.816666667
-379.1801436,761.8071699,4.8
1263.100926,243.017006,14.51666667
-320.5889861,-600.6727865,10.56666667
751.4501694,-1012.172248,12.5
-860.4081129,-634.5021023,3.133333333
2547.885312,-628.0589153,13.93333333
-1108.496665,506.6369811,3.4
607.6698618,-1085.398472,10.53333333
892.3263366,-28.32687734,10.38333333
-390.9108419,778.3521058,8.516666667
-956.8624416,510.0632342,10.15
1929.255702,771.6447406,15.21666667
-1022.841256,-384.9810638,3.05
-2820.927636,-461.2098821,1.05
1419.473841,-635.5452764,10.81666667
-204.8712756,-275.3794417,4.55
42.45854485,1057.153556,7.616666667
-1528.908978,250.5727752,8.266666667
-737.833375,672.8168356,5.5
-746.0780479,-654.4335333,5.266666667
1866.89447,646.6105977,13.06666667
1837.919304,-130.4644929,15.83333333
2770.461513,-602.1256013,12.53333333
33.43262383,1065.030202,4.95
1672.021435,547.5980352,15.6
-298.3915366,805.3042039,5.083333333
2329.699871,666.1154408,14.48333333
2239.168033,-1295.671771,19.15
-625.9146477,-613.1542835,10.13333333
-522.3399223,-538.2521372,9.616666667
971.0186482,-26.54917963,11.78333333
-851.8249323,-300.1888219,3.133333333
668.6465363,-171.5155516,9.933333333
1051.544153,53.56505134,7.45
-1530.123428,274.8971917,3.75
-447.5657377,-383.335134,10.4
-956.6036683,-498.5802132,9.5
-81.10777326,-467.5347217,11.66666667
-2372.192273,-212.236557,2.033333333
95.94158058,-110.611809,8.8
-906.2457791,589.4704982,3.616666667
-2720.345215,-421.4165992,1.45
